Type,Vector,Label,Description,To_Scale,Aggregation,
,v_CA16_5747,Healthcare_Workforce,Total employed population in healthcare/social assistance (NAICS: 62),TRUE,Sum,"M: 5748, F:5749"
Income,v_CA16_4957,Average_Income,"Average Income for 15yrs+ Population in 2015 (2016 census, 25% sample data)",FALSE,Mean,M: 4958 F: 4959
Low Income Measures,v_CA16_2525,LIMAT,Low income based on the low-income measure after tax (LIMAT) (100% Data),TRUE,Sum,"M: 2526 F:2527 (can be split by age and gender [0-17 - 2528 M: 2529 F: 2530], [18-64 - 2534 M: 2535 F: 2536], [65+ - 2537 M: 2538 F: 2539])"
,v_CA16_2555,LICOAT,low income based on the low income cut offs after tax (100% Data),TRUE,Sum,"M: 2556 F:2557 (can be split by age and gender [0-17 - 2558 M: 2559 F: 2560], [18-64 - 2564 M: 2565 F: 2566], [65+ - 2567 M: 2568 F: 2569])"
Multiple-Census Households,v_CA16_508,Multi_Census_Households,Multiple-census-family households (100% Data),TRUE,Sum,
Visible Minorities,v_CA16_3957,Visible_Minority_Population,Total visible minority population (25% Data),TRUE,Sum,M: 3958 F: 3959
,v_CA16_3963,Chinese_Population,Total Chinese population (25% Data),TRUE,Sum,M: 3964 F: 3965
Indigenous Population (called Aboriginal in the Census),v_CA16_3861,First_Nations_Population,Total (self-identified) First Nations Peoples (25% Data),TRUE,Sum,M: 3862 F: 3863
,v_CA16_3864,Metis_Population,Total (self-identified) Métis People (25% Data),TRUE,Sum,M: 3865 F: 3866
,v_CA16_3867,Inuit_Population,Total (self-identified) Inuit People (25% Data),TRUE,Sum,M: 2868 F: 3869
,v_CA16_3870,Multiple_Indigenous_Indenities_Population,Total (self-identified) Multiple Indigenous Identities (25% Data),TRUE,Sum,M: 3871 F:3872
Public Transportation Utilization,v_CA16_5801,Public_Transportation_Commute,Population that uses public transportation for their commute (25% Data),TRUE,Sum,M: 5802 F: 5803
Education,v_CA16_5054,No_Certificate_Diploma_Degree,Population without any educational degree (25% Data),TRUE,Sum,M: 5055 F: 5056
,v_CA16_5057,Secondary_School_Or_Equivalent,Population with a SS diploma or equiv. as their highest education,TRUE,Sum,M: 5058 F: 5059
,v_CA16_5066,Trades_Certificate,Population with a trades certificate other than Certificate of Apprenticeship or Certificate of Qualification as their highest education,TRUE,Sum,M: 5067 F:5068
,v_CA16_5069,Certificate_Of_Apprenticeship_or_Qualification,Population with a Certificate of Apprenticeship or Qualification as their highest education,TRUE,Sum,M: 5070 F: 5071
,v_CA16_5072,College_Or_CEGEP_Diploma,"Population with a college, CEGEP, or other non-university certification/diploma as their highest level of education",TRUE,Sum,M: 5073 F: 5074
,v_CA16_5075,University_Diploma_Below_Bachelor,Population with a university certificate or diploma below the Bachelor level as their highest level of education,TRUE,Sum,M: 5076 F: 5077
,v_CA16_5084,University_Bachelors_Degree,Population with a Bachelor's degree as their highest level of education,TRUE,Sum,M: 5082 F: 5083
,v_CA16_5090,University_Masters_Degree,Population with a Master's degree as their highest level of education,TRUE,Sum,M: 5091 F: 5092
,v_CA16_5093,University_Earned_Doctorate,Population with an Earned Doctorate as their highest level of education,TRUE,Sum,M: 5094 F: 5095
