"Date","Unit_ID","Name_Full","Name_Short","Active"
2020-10-17,3542,"Lambton Health Unit","Lambton",14
2020-10-17,3543,"Leeds, Grenville and Lanark District Health Unit","Leeds, Grenville and Lanark",13
2020-10-17,3544,"Middlesex-London Health Unit","Middlesex-London",62
2020-10-17,3546,"Niagara Regional Area Health Unit","Niagara",47
2020-10-17,3547,"North Bay Parry Sound District Health Unit","North Bay Parry Sound",1
2020-10-17,3549,"Northwestern Health Unit","Northwestern",1
2020-10-17,3551,"City of Ottawa Health Unit","Ottawa",825
2020-10-17,3553,"Peel Regional Health Unit","Peel",978
2020-10-17,3555,"Peterborough County-City Health Unit","Peterborough",2
2020-10-17,3556,"Porcupine Health Unit","Porcupine",4
2020-10-17,3557,"Renfrew County and District Health Unit","Renfrew",14
2020-10-17,3558,"The Eastern Ontario Health Unit","Eastern",97
2020-10-17,3560,"Simcoe Muskoka District Health Unit","Simcoe Muskoka",93
2020-10-17,3561,"Sudbury and District Health Unit","Sudbury",2
2020-10-17,3562,"Thunder Bay District Health Unit","Thunder Bay",1
2020-10-17,3563,"Timiskaming Health Unit","Timiskaming",0
2020-10-17,3565,"Waterloo Health Unit","Waterloo",76
2020-10-17,3566,"Wellington-Dufferin-Guelph Health Unit","Wellington-Dufferin-Guelph",52
2020-10-17,3568,"Windsor-Essex County Health Unit","Windsor-Essex",49
2020-10-17,3570,"York Regional Health Unit","York",702
2020-10-17,3575,"Southwestern Public Health","Southwestern",14
2020-10-17,3595,"City of Toronto Health Unit","Toronto",2344
2020-10-18,3500,"Huron Perth Health Unit","Huron Perth",3
2020-10-18,3526,"The District of Algoma Health Unit","Algoma",1
2020-10-18,3527,"Brant County Health Unit","Brant",44
2020-10-18,3530,"Durham Regional Health Unit","Durham",160
2020-10-18,3533,"Grey Bruce Health Unit","Grey Bruce",8
2020-10-18,3534,"Haldimand-Norfolk Health Unit","Haldimand-Norfolk",11
2020-10-18,3535,"Haliburton, Kawartha, Pine Ridge District Health Unit","Haliburton, Kawartha, Pine Ridge",1
2020-10-18,3536,"Halton Regional Health Unit","Halton",169
2020-10-18,3537,"City of Hamilton Health Unit","Hamilton",138
2020-10-18,3538,"Hastings and Prince Edward Counties Health Unit","Hastings and Prince Edward Counties",4
2020-10-18,3540,"Chatham-Kent Health Unit","Chatham-Kent",1
2020-10-18,3541,"Kingston, Frontenac and Lennox & Addington Health Unit","Kingston, Frontenac, and Lennox & Addington",5
2020-10-18,3542,"Lambton Health Unit","Lambton",10
2020-10-18,3543,"Leeds, Grenville and Lanark District Health Unit","Leeds, Grenville and Lanark",14
2020-10-18,3544,"Middlesex-London Health Unit","Middlesex-London",60
2020-10-18,3546,"Niagara Regional Area Health Unit","Niagara",48
2020-10-18,3547,"North Bay Parry Sound District Health Unit","North Bay Parry Sound",3
2020-10-18,3549,"Northwestern Health Unit","Northwestern",1
2020-10-18,3551,"City of Ottawa Health Unit","Ottawa",790
2020-10-18,3553,"Peel Regional Health Unit","Peel",1028
2020-10-18,3555,"Peterborough County-City Health Unit","Peterborough",3
2020-10-18,3556,"Porcupine Health Unit","Porcupine",5
2020-10-18,3557,"Renfrew County and District Health Unit","Renfrew",13
2020-10-18,3558,"The Eastern Ontario Health Unit","Eastern",107
2020-10-18,3560,"Simcoe Muskoka District Health Unit","Simcoe Muskoka",107
2020-10-18,3561,"Sudbury and District Health Unit","Sudbury",2
2020-10-18,3562,"Thunder Bay District Health Unit","Thunder Bay",1
2020-10-18,3563,"Timiskaming Health Unit","Timiskaming",0
2020-10-18,3565,"Waterloo Health Unit","Waterloo",71
2020-10-18,3566,"Wellington-Dufferin-Guelph Health Unit","Wellington-Dufferin-Guelph",50
2020-10-18,3568,"Windsor-Essex County Health Unit","Windsor-Essex",51
2020-10-18,3570,"York Regional Health Unit","York",745
2020-10-18,3575,"Southwestern Public Health","Southwestern",16
2020-10-18,3595,"City of Toronto Health Unit","Toronto",2377
2020-10-19,3500,"Huron Perth Health Unit","Huron Perth",2
2020-10-19,3526,"The District of Algoma Health Unit","Algoma",1
2020-10-19,3527,"Brant County Health Unit","Brant",56
2020-10-19,3530,"Durham Regional Health Unit","Durham",168
2020-10-19,3533,"Grey Bruce Health Unit","Grey Bruce",5
2020-10-19,3534,"Haldimand-Norfolk Health Unit","Haldimand-Norfolk",10
2020-10-19,3535,"Haliburton, Kawartha, Pine Ridge District Health Unit","Haliburton, Kawartha, Pine Ridge",1
2020-10-19,3536,"Halton Regional Health Unit","Halton",192
2020-10-19,3537,"City of Hamilton Health Unit","Hamilton",143
2020-10-19,3538,"Hastings and Prince Edward Counties Health Unit","Hastings and Prince Edward Counties",4
2020-10-19,3540,"Chatham-Kent Health Unit","Chatham-Kent",3
2020-10-19,3541,"Kingston, Frontenac and Lennox & Addington Health Unit","Kingston, Frontenac, and Lennox & Addington",4
2020-10-19,3542,"Lambton Health Unit","Lambton",11
2020-10-19,3543,"Leeds, Grenville and Lanark District Health Unit","Leeds, Grenville and Lanark",15
2020-10-19,3544,"Middlesex-London Health Unit","Middlesex-London",55
2020-10-19,3546,"Niagara Regional Area Health Unit","Niagara",56
2020-10-19,3547,"North Bay Parry Sound District Health Unit","North Bay Parry Sound",5
2020-10-19,3549,"Northwestern Health Unit","Northwestern",1
2020-10-19,3551,"City of Ottawa Health Unit","Ottawa",776
2020-10-19,3553,"Peel Regional Health Unit","Peel",1054
2020-10-19,3555,"Peterborough County-City Health Unit","Peterborough",5
2020-10-19,3556,"Porcupine Health Unit","Porcupine",4
2020-10-19,3557,"Renfrew County and District Health Unit","Renfrew",11
2020-10-19,3558,"The Eastern Ontario Health Unit","Eastern",110
2020-10-19,3560,"Simcoe Muskoka District Health Unit","Simcoe Muskoka",97
2020-10-19,3561,"Sudbury and District Health Unit","Sudbury",2
2020-10-19,3562,"Thunder Bay District Health Unit","Thunder Bay",1
2020-10-19,3563,"Timiskaming Health Unit","Timiskaming",1
2020-10-19,3565,"Waterloo Health Unit","Waterloo",78
2020-10-19,3566,"Wellington-Dufferin-Guelph Health Unit","Wellington-Dufferin-Guelph",43
2020-10-19,3568,"Windsor-Essex County Health Unit","Windsor-Essex",50
2020-10-19,3570,"York Regional Health Unit","York",751
2020-10-19,3575,"Southwestern Public Health","Southwestern",17
2020-10-19,3595,"City of Toronto Health Unit","Toronto",2505
2020-10-20,3500,"Huron Perth Health Unit","Huron Perth",3
2020-10-20,3526,"The District of Algoma Health Unit","Algoma",1
2020-10-20,3527,"Brant County Health Unit","Brant",56
2020-10-20,3530,"Durham Regional Health Unit","Durham",180
2020-10-20,3533,"Grey Bruce Health Unit","Grey Bruce",4
2020-10-20,3534,"Haldimand-Norfolk Health Unit","Haldimand-Norfolk",8
2020-10-20,3535,"Haliburton, Kawartha, Pine Ridge District Health Unit","Haliburton, Kawartha, Pine Ridge",1
2020-10-20,3536,"Halton Regional Health Unit","Halton",185
2020-10-20,3537,"City of Hamilton Health Unit","Hamilton",150
2020-10-20,3538,"Hastings and Prince Edward Counties Health Unit","Hastings and Prince Edward Counties",6
2020-10-20,3540,"Chatham-Kent Health Unit","Chatham-Kent",7
2020-10-20,3541,"Kingston, Frontenac and Lennox & Addington Health Unit","Kingston, Frontenac, and Lennox & Addington",4
2020-10-20,3542,"Lambton Health Unit","Lambton",11
2020-10-20,3543,"Leeds, Grenville and Lanark District Health Unit","Leeds, Grenville and Lanark",16
2020-10-20,3544,"Middlesex-London Health Unit","Middlesex-London",53
2020-10-20,3546,"Niagara Regional Area Health Unit","Niagara",65
2020-10-20,3547,"North Bay Parry Sound District Health Unit","North Bay Parry Sound",4
2020-10-20,3549,"Northwestern Health Unit","Northwestern",1
2020-10-20,3551,"City of Ottawa Health Unit","Ottawa",751
2020-10-20,3553,"Peel Regional Health Unit","Peel",1079
2020-10-20,3555,"Peterborough County-City Health Unit","Peterborough",5
2020-10-20,3556,"Porcupine Health Unit","Porcupine",4
2020-10-20,3557,"Renfrew County and District Health Unit","Renfrew",8
2020-10-20,3558,"The Eastern Ontario Health Unit","Eastern",106
2020-10-20,3560,"Simcoe Muskoka District Health Unit","Simcoe Muskoka",96
2020-10-20,3561,"Sudbury and District Health Unit","Sudbury",2
2020-10-20,3562,"Thunder Bay District Health Unit","Thunder Bay",1
2020-10-20,3563,"Timiskaming Health Unit","Timiskaming",0
2020-10-20,3565,"Waterloo Health Unit","Waterloo",77
2020-10-20,3566,"Wellington-Dufferin-Guelph Health Unit","Wellington-Dufferin-Guelph",45
2020-10-20,3568,"Windsor-Essex County Health Unit","Windsor-Essex",37
2020-10-20,3570,"York Regional Health Unit","York",754
2020-10-20,3575,"Southwestern Public Health","Southwestern",15
2020-10-20,3595,"City of Toronto Health Unit","Toronto",2564
2020-10-21,3500,"Huron Perth Health Unit","Huron Perth",2
2020-10-21,3526,"The District of Algoma Health Unit","Algoma",1
2020-10-21,3527,"Brant County Health Unit","Brant",57
2020-10-21,3530,"Durham Regional Health Unit","Durham",161
2020-10-21,3533,"Grey Bruce Health Unit","Grey Bruce",4
2020-10-21,3534,"Haldimand-Norfolk Health Unit","Haldimand-Norfolk",9
2020-10-21,3535,"Haliburton, Kawartha, Pine Ridge District Health Unit","Haliburton, Kawartha, Pine Ridge",1
2020-10-21,3536,"Halton Regional Health Unit","Halton",185
2020-10-21,3537,"City of Hamilton Health Unit","Hamilton",151
2020-10-21,3538,"Hastings and Prince Edward Counties Health Unit","Hastings and Prince Edward Counties",7
2020-10-21,3540,"Chatham-Kent Health Unit","Chatham-Kent",12
2020-10-21,3541,"Kingston, Frontenac and Lennox & Addington Health Unit","Kingston, Frontenac, and Lennox & Addington",6
2020-10-21,3542,"Lambton Health Unit","Lambton",9
2020-10-21,3543,"Leeds, Grenville and Lanark District Health Unit","Leeds, Grenville and Lanark",17
2020-10-21,3544,"Middlesex-London Health Unit","Middlesex-London",57
2020-10-21,3546,"Niagara Regional Area Health Unit","Niagara",67
2020-10-21,3547,"North Bay Parry Sound District Health Unit","North Bay Parry Sound",5
2020-10-21,3549,"Northwestern Health Unit","Northwestern",1
2020-10-21,3551,"City of Ottawa Health Unit","Ottawa",711
2020-10-21,3553,"Peel Regional Health Unit","Peel",1104
2020-10-21,3555,"Peterborough County-City Health Unit","Peterborough",7
2020-10-21,3556,"Porcupine Health Unit","Porcupine",5
2020-10-21,3557,"Renfrew County and District Health Unit","Renfrew",4
2020-10-21,3558,"The Eastern Ontario Health Unit","Eastern",102
2020-10-21,3560,"Simcoe Muskoka District Health Unit","Simcoe Muskoka",110
2020-10-21,3561,"Sudbury and District Health Unit","Sudbury",2
2020-10-21,3562,"Thunder Bay District Health Unit","Thunder Bay",0
2020-10-21,3563,"Timiskaming Health Unit","Timiskaming",0
2020-10-21,3565,"Waterloo Health Unit","Waterloo",75
2020-10-21,3566,"Wellington-Dufferin-Guelph Health Unit","Wellington-Dufferin-Guelph",44
2020-10-21,3568,"Windsor-Essex County Health Unit","Windsor-Essex",29
2020-10-21,3570,"York Regional Health Unit","York",781
2020-10-21,3575,"Southwestern Public Health","Southwestern",15
2020-10-21,3595,"City of Toronto Health Unit","Toronto",2649
2020-10-22,3500,"Huron Perth Health Unit","Huron Perth",3
2020-10-22,3526,"The District of Algoma Health Unit","Algoma",2
2020-10-22,3527,"Brant County Health Unit","Brant",50
2020-10-22,3530,"Durham Regional Health Unit","Durham",175
2020-10-22,3533,"Grey Bruce Health Unit","Grey Bruce",8
2020-10-22,3534,"Haldimand-Norfolk Health Unit","Haldimand-Norfolk",11
2020-10-22,3535,"Haliburton, Kawartha, Pine Ridge District Health Unit","Haliburton, Kawartha, Pine Ridge",2
2020-10-22,3536,"Halton Regional Health Unit","Halton",194
2020-10-22,3537,"City of Hamilton Health Unit","Hamilton",131
2020-10-22,3538,"Hastings and Prince Edward Counties Health Unit","Hastings and Prince Edward Counties",7
2020-10-22,3540,"Chatham-Kent Health Unit","Chatham-Kent",14
2020-10-22,3541,"Kingston, Frontenac and Lennox & Addington Health Unit","Kingston, Frontenac, and Lennox & Addington",5
2020-10-22,3542,"Lambton Health Unit","Lambton",8
2020-10-22,3543,"Leeds, Grenville and Lanark District Health Unit","Leeds, Grenville and Lanark",17
2020-10-22,3544,"Middlesex-London Health Unit","Middlesex-London",57
2020-10-22,3546,"Niagara Regional Area Health Unit","Niagara",68
2020-10-22,3547,"North Bay Parry Sound District Health Unit","North Bay Parry Sound",5
2020-10-22,3549,"Northwestern Health Unit","Northwestern",2
2020-10-22,3551,"City of Ottawa Health Unit","Ottawa",697
2020-10-22,3553,"Peel Regional Health Unit","Peel",1145
2020-10-22,3555,"Peterborough County-City Health Unit","Peterborough",8
2020-10-22,3556,"Porcupine Health Unit","Porcupine",5
2020-10-22,3557,"Renfrew County and District Health Unit","Renfrew",3
2020-10-22,3558,"The Eastern Ontario Health Unit","Eastern",111
2020-10-22,3560,"Simcoe Muskoka District Health Unit","Simcoe Muskoka",98
2020-10-22,3561,"Sudbury and District Health Unit","Sudbury",4
2020-10-22,3562,"Thunder Bay District Health Unit","Thunder Bay",1
2020-10-22,3563,"Timiskaming Health Unit","Timiskaming",0
2020-10-22,3565,"Waterloo Health Unit","Waterloo",78
2020-10-22,3566,"Wellington-Dufferin-Guelph Health Unit","Wellington-Dufferin-Guelph",53
2020-10-22,3568,"Windsor-Essex County Health Unit","Windsor-Essex",28
2020-10-22,3570,"York Regional Health Unit","York",796
2020-10-22,3575,"Southwestern Public Health","Southwestern",16
2020-10-22,3595,"City of Toronto Health Unit","Toronto",2672
2020-10-23,3500,"Huron Perth Health Unit","Huron Perth",2
2020-10-23,3526,"The District of Algoma Health Unit","Algoma",2
2020-10-23,3527,"Brant County Health Unit","Brant",56
2020-10-23,3530,"Durham Regional Health Unit","Durham",199
2020-10-23,3533,"Grey Bruce Health Unit","Grey Bruce",8
2020-10-23,3534,"Haldimand-Norfolk Health Unit","Haldimand-Norfolk",13
2020-10-23,3535,"Haliburton, Kawartha, Pine Ridge District Health Unit","Haliburton, Kawartha, Pine Ridge",2
2020-10-23,3536,"Halton Regional Health Unit","Halton",195
2020-10-23,3537,"City of Hamilton Health Unit","Hamilton",125
2020-10-23,3538,"Hastings and Prince Edward Counties Health Unit","Hastings and Prince Edward Counties",6
2020-10-23,3540,"Chatham-Kent Health Unit","Chatham-Kent",13
2020-10-23,3541,"Kingston, Frontenac and Lennox & Addington Health Unit","Kingston, Frontenac, and Lennox & Addington",5
2020-10-23,3542,"Lambton Health Unit","Lambton",6
2020-10-23,3543,"Leeds, Grenville and Lanark District Health Unit","Leeds, Grenville and Lanark",22
2020-10-23,3544,"Middlesex-London Health Unit","Middlesex-London",53
2020-10-23,3546,"Niagara Regional Area Health Unit","Niagara",72
2020-10-23,3547,"North Bay Parry Sound District Health Unit","North Bay Parry Sound",3
2020-10-23,3549,"Northwestern Health Unit","Northwestern",2
2020-10-23,3551,"City of Ottawa Health Unit","Ottawa",728
2020-10-23,3553,"Peel Regional Health Unit","Peel",1190
2020-10-23,3555,"Peterborough County-City Health Unit","Peterborough",8
2020-10-23,3556,"Porcupine Health Unit","Porcupine",6
2020-10-23,3557,"Renfrew County and District Health Unit","Renfrew",11
2020-10-23,3558,"The Eastern Ontario Health Unit","Eastern",148
2020-10-23,3560,"Simcoe Muskoka District Health Unit","Simcoe Muskoka",105
2020-10-23,3561,"Sudbury and District Health Unit","Sudbury",6
2020-10-23,3562,"Thunder Bay District Health Unit","Thunder Bay",5
2020-10-23,3563,"Timiskaming Health Unit","Timiskaming",0
2020-10-23,3565,"Waterloo Health Unit","Waterloo",81
2020-10-23,3566,"Wellington-Dufferin-Guelph Health Unit","Wellington-Dufferin-Guelph",62
2020-10-23,3568,"Windsor-Essex County Health Unit","Windsor-Essex",22
2020-10-23,3570,"York Regional Health Unit","York",873
2020-10-23,3575,"Southwestern Public Health","Southwestern",15
2020-10-23,3595,"City of Toronto Health Unit","Toronto",2777
2020-10-24,3500,"Huron Perth Health Unit","Huron Perth",3
2020-10-24,3526,"The District of Algoma Health Unit","Algoma",2
2020-10-24,3527,"Brant County Health Unit","Brant",57
2020-10-24,3530,"Durham Regional Health Unit","Durham",238
2020-10-24,3533,"Grey Bruce Health Unit","Grey Bruce",8
2020-10-24,3534,"Haldimand-Norfolk Health Unit","Haldimand-Norfolk",16
2020-10-24,3535,"Haliburton, Kawartha, Pine Ridge District Health Unit","Haliburton, Kawartha, Pine Ridge",3
2020-10-24,3536,"Halton Regional Health Unit","Halton",209
2020-10-24,3537,"City of Hamilton Health Unit","Hamilton",129
2020-10-24,3538,"Hastings and Prince Edward Counties Health Unit","Hastings and Prince Edward Counties",7
2020-10-24,3540,"Chatham-Kent Health Unit","Chatham-Kent",20
2020-10-24,3541,"Kingston, Frontenac and Lennox & Addington Health Unit","Kingston, Frontenac, and Lennox & Addington",4
2020-10-24,3542,"Lambton Health Unit","Lambton",5
2020-10-24,3543,"Leeds, Grenville and Lanark District Health Unit","Leeds, Grenville and Lanark",17
2020-10-24,3544,"Middlesex-London Health Unit","Middlesex-London",58
2020-10-24,3546,"Niagara Regional Area Health Unit","Niagara",92
2020-10-24,3547,"North Bay Parry Sound District Health Unit","North Bay Parry Sound",3
2020-10-24,3549,"Northwestern Health Unit","Northwestern",2
